species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
A2 CHFU,0.019139254230301272,0.08886082321211304,0.65,1,2,2,-0.06972156898181177,0.2153846153846154,1
Dilophus_sp. CHFU,0.02543750707635381,0.11810271142592842,2.333333333333333,1,4,4,-0.0926652043495746,0.21538461538461537,1
Diptera CHFU,0.03360615196730524,0.15602856270534568,3.6666666666666665,1,5,5,-0.12242241073804044,0.21538461538461548,1
A3 CHFU,0.007875042110256266,0.03988868274582561,0.3333333333333333,1,1,1,-0.03201364063556934,0.19742547429898263,1
Empididae CHFU,0.023579363869682644,0.10296846011131727,1.8666666666666665,1.2,3,3,-0.07938909624163462,0.22899598424790887,1
B1 CHFU,0.015384615384615382,0.07142857142857141,1,1,1,1,-0.056043956043956025,0.2153846153846154,1
Eupeodes_corollae CHFU,0.015384615384615382,0.07142857142857141,1,1,2,2,-0.056043956043956025,0.2153846153846154,1
B2 CHFU,0.020944754704229268,0.10296846011131727,1.6666666666666665,1,2,2,-0.082023705407088,0.2034094195599923,1
Sphaerophoria_scripta CHFU,0.0105915709996363,0.03988868274582561,0.5333333333333333,1.2,3,3,-0.029297111746189312,0.2655282218048356,1
C4 CHFU,0.007713162561417491,0.03581111189229551,0.25,1,1,1,-0.028097949330878016,0.21538461538461529,1
C5 CHFU,0.01311863281514268,0.06090793807030529,0.5,1,1,1,-0.04778930525516261,0.21538461538461542,1
E2 CHFU,0.0080207381421342,0.037239141374194484,0.2,1,1,1,-0.029218403232060285,0.21538461538461548,1
E5 CHFU,0.0080207381421342,0.03723914137419449,0.2,1,1,1,-0.02921840323206029,0.21538461538461542,1
F4 CHFU,0.008020738142134198,0.037239141374194484,0.2,1,1,1,-0.029218403232060285,0.21538461538461542,1
A1 LEMA,0.012896546583286983,0.019235363389113493,0.15310077519379844,1,2,2,-0.00633881680582651,0.6704602519017631,1
Dilophus_sp. LEMA,0.0426280349696624,0.06436324437953286,5.052380952380953,1.0000000000000002,12,12,-0.021735209409870462,0.6623040118719974,1
Psilothrix_viridicoerulea LEMA,0.12764033098253896,0.1912735596964261,13.395238095238096,1,20,20,-0.06363322871388713,0.6673182178714056,1
A2 LEMA,0.01269178888930605,0.018881377805259676,0.23643410852713176,1,2,2,-0.0061895889159536265,0.6721855269359935,1
Odontomyia_sp. LEMA,0.019868669056730494,0.02968290042138649,1.7333333333333332,0.9999999999999999,6,6,-0.009814231364655996,0.6693641380953171,1
A3 LEMA,0.008238981052676996,0.012123793407255855,0.3565891472868217,1,2,2,-0.003884812354578859,0.6795712180105383,1
Anthaxia_semicuprea LEMA,0.012028820905541734,0.017680486246514873,1.0333333333333332,1,3,3,-0.005651665340973139,0.6803444621277213,1
A4 LEMA,0.010964893904285221,0.016148661811116873,0.3798449612403101,1,2,2,-0.005183767906831652,0.6789970607184861,1
Andrena_cinerea LEMA,0.01274455042269596,0.01854123718693033,0.8333333333333333,1,2,2,-0.005796686764234371,0.6873624609947582,1
A5 LEMA,0.005327178118043393,0.007892396476883579,0.08333333333333333,1,1,1,-0.002565218358840186,0.6749759890606639,1
A6 LEMA,0.011053709169047146,0.016328870966952274,0.5232558139534884,1,3,3,-0.005275161797905128,0.6769426490918179,1
B1 LEMA,0.012721568265354616,0.018780936326162165,1.25,1,2,2,-0.006059368060807549,0.6773660292768926,1
Eupeodes_corollae LEMA,0.018149039813009363,0.027433677231385487,1.5333333333333332,1,5,5,-0.009284637418376124,0.6615605942992565,1
Oedemeridae LEMA,0.00771435882046802,0.011315231271952254,0.5,1,1,1,-0.0036008724514842343,0.6817676665248608,1
B2 LEMA,0.012149721909188572,0.01944053096638198,0.3798449612403101,1,3,3,-0.007290809057193407,0.6249686250956201,1
Sphaerophoria_scripta LEMA,0.027967847175958377,0.030636297401404368,2.45,2,6,6,-0.002668450225445991,0.9128990624916812,1
B5 LEMA,0.004830815129440169,0.007114322304076643,0.023255813953488372,1,1,1,-0.0022835071746364743,0.6790267467460701,1
C1 LEMA,0.010270963114536302,0.015573629177941252,1.0232558139534884,1,2,2,-0.005302666063404951,0.6595099316403568,1
Musca_sp. LEMA,0.012800348200226191,0.009952125733958365,1.3,2,2,2,0.0028482224662678256,1.2861923716004915,1
C2 LEMA,0.005327178118043395,0.007892396476883577,0.08333333333333333,1,1,1,-0.0025652183588401826,0.6749759890606642,1
C3 LEMA,0.007645543245810323,0.01131939986377306,0.18992248062015504,1,2,2,-0.003673856617962738,0.6754371554873102,1
C4 LEMA,0.017247383942249818,0.02501752864418953,1.1666666666666665,1,2,2,-0.007770144701939711,0.6894119793985177,1
Melyridae LEMA,0.018159481713795608,0.026299986442970203,1.5,1,2,2,-0.0081405047291745955,0.6904749458017119,1
C5 LEMA,0.01468108128190518,0.021807314452539625,1.3333333333333333,1,3,3,-0.007126233170634445,0.6732182137262417,1
Diptera LEMA,0.0064673320042321104,0.00951207242821956,0.3333333333333333,1,2,2,-0.00304474042398745,0.6799077754123709,1
D1 LEMA,0.010025472036055444,0.014510827571595672,0.5,1,1,1,-0.004485355535540228,0.6908959524596571,1
D2 LEMA,0.004830815129440171,0.007114322304076642,0.023255813953488372,1,1,1,-0.002283507174636471,0.6790267467460706,1
D3 LEMA,0.024495466060828423,0.036363842453456856,1.4864341085271318,0.9999999999999998,4,4,-0.011868376392628433,0.6736214989431022,1
Chrysomelidae LEMA,0.005282141757935761,0.007748942774110236,0.14285714285714285,1,1,1,-0.002466801016174475,0.6816596678947957,1
Mordellidae LEMA,0.019245238460917455,0.028154421471997232,2.3428571428571425,1,4,4,-0.008909183011079777,0.6835600752819243,1
D4 LEMA,0.006397305480637268,0.009316147896132748,0.25,1,1,1,-0.0029188424154954805,0.6866899873168469,1
D5 LEMA,0.018162808152343193,0.02687074867330193,0.8565891472868217,1,5,5,-0.008707940520958739,0.6759323446164074,1
E1 LEMA,0.012400183594683754,0.018457289216306554,0.09302325581395349,1,1,1,-0.0060571056216228,0.6718312450632513,1
E2 LEMA,0.01433553544479989,0.024134658682101427,0.4631782945736434,1,3,3,-0.009799123237301538,0.5939812795211107,1
E3 LEMA,0.016548459849570537,0.02471103421692909,0.48643410852713176,1,3,3,-0.008162574367358552,0.6696789662584612,1
E4 LEMA,0.012400183594683756,0.018457289216306554,0.09302325581395349,1,1,1,-0.0060571056216227985,0.6718312450632514,1
E5 LEMA,0.010373423761539125,0.01545437441837019,0.12984496124031009,1,2,2,-0.005080950656831066,0.6712289660336248,1
E6 LEMA,0.009877060772935892,0.014676300245563255,0.06976744186046512,1,1,1,-0.004799239472627363,0.6729939158829756,1
